season_id,match_number,match_id,team1,team2,date,venue_id,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_wickets,match_type,winner_runs
S2023-3,5,S2023-3-M5,Australia,India,08/10/23,TN01,Australia,bat,KL Rahul,CB Gaffaney,RA Kettleborough,AT Holdstock,RB Richardson,India,6,Group,0
S2023-3,18,S2023-3-M18,Australia,Pakistan,20/10/23,KA01,Pakistan,field,DA Warner,CM Brown,RK Illingworth,J Madanagopal,RB Richardson,Australia,0,Group,62
S2023-3,24,S2023-3-M24,Australia,Netherlands,25/10/23,DE01,Australia,bat,GJ Maxwell,MA Gough,Sharfuddoula,Nitin Menon,AJ Pycroft,Australia,0,Group,309
S2023-3,27,S2023-3-M27,Australia,New Zealand,28/10/23,HP01,New Zealand,field,TM Head,M Erasmus,Sharfuddoula,MA Gough,AJ Pycroft,Australia,0,Group,5
S2023-3,36,S2023-3-M36,Australia,England,04/11/23,GU01,England,field,A Zampa,CB Gaffaney,M Erasmus,Ahsan Raza,JJ Crowe,Australia,0,Group,33
S2023-6,3,S2023-6-M3,Afghanistan,Bangladesh,07/10/23,HP01,Bangladesh,field,Mehedi Hasan Miraz,JS Wilson,HDPK Dharmasena,M Erasmus,AJ Pycroft,Bangladesh,6,Group,0
S2023-6,9,S2023-6-M9,Afghanistan,India,11/10/23,DE01,Afghanistan,bat,RG Sharma,MA Gough,PR Reiffel,Sharfuddoula,JJ Crowe,India,8,Group,0
S2023-6,13,S2023-6-M13,Afghanistan,England,15/10/23,DE01,England,field,Mujeeb Ur Rahman,RJ Tucker,Sharfuddoula,P Wilson,JJ Crowe,Afghanistan,0,Group,69
S2023-6,39,S2023-6-M39,Afghanistan,Australia,07/11/23,MA01,Afghanistan,bat,GJ Maxwell,AG Wharf,MA Gough,Sharfuddoula,JJ Crowe,Australia,3,Group,0
S2023-6,42,S2023-6-M42,Afghanistan,South Africa,10/11/23,GU01,Afghanistan,bat,HE van der Dussen,CM Brown,Nitin Menon,CB Gaffaney,JJ Crowe,South Africa,5,Group,0
S2023-9,8,S2023-9-M8,Sri Lanka,Pakistan,10/10/23,TE01,Sri Lanka,bat,Mohammad Rizwan,AG Wharf,CB Gaffaney,RJ Tucker,AJ Pycroft,Pakistan,6,Group,0
S2023-9,14,S2023-9-M14,Sri Lanka,Australia,16/10/23,UP01,Sri Lanka,bat,A Zampa,CB Gaffaney,JS Wilson,,RB Richardson,Australia,5,Group,0
S2023-9,30,S2023-9-M30,Sri Lanka,Afghanistan,30/10/23,MA02,Afghanistan,field,Fazalhaq Farooqi,CB Gaffaney,RK Illingworth,M Erasmus,J Srinath,Afghanistan,7,Group,0
S2023-9,38,S2023-9-M38,Sri Lanka,Bangladesh,06/11/23,DE01,Bangladesh,field,Shakib Al Hasan,M Erasmus,RK Illingworth,AT Holdstock,RB Richardson,Bangladesh,3,Group,0
S2023-9,41,S2023-9-M41,Sri Lanka,New Zealand,09/11/23,KA01,New Zealand,field,TA Boult,AT Holdstock,JS Wilson,PR Reiffel,J Srinath,New Zealand,5,Group,0
S2023-8,11,S2023-8-M11,Bangladesh,New Zealand,13/10/23,TN01,New Zealand,field,LH Ferguson,HDPK Dharmasena,Nitin Menon,AG Wharf,RB Richardson,New Zealand,8,Group,0
S2023-8,17,S2023-8-M17,Bangladesh,India,19/10/23,MA02,Bangladesh,bat,V Kohli,AT Holdstock,RA Kettleborough,M Erasmus,AJ Pycroft,India,7,Group,0
S2023-8,31,S2023-8-M31,Bangladesh,Pakistan,31/10/23,WE01,Bangladesh,bat,Fakhar Zaman,Nitin Menon,RA Kettleborough,PR Reiffel,AJ Pycroft,Pakistan,7,Group,0
S2023-8,43,S2023-8-M43,Bangladesh,Australia,11/11/23,MA02,Australia,field,MR Marsh,Ahsan Raza,M Erasmus,RA Kettleborough,AJ Pycroft,Australia,8,Group,0
S2023-7,1,S2023-7-M1,England,New Zealand,05/10/23,GU01,New Zealand,field,R Ravindra,HDPK Dharmasena,Nitin Menon,Sharfuddoula,J Srinath,New Zealand,9,Group,0
S2023-7,7,S2023-7-M7,England,Bangladesh,10/10/23,HP01,Bangladesh,field,DJ Malan,Ahsan Raza,P Wilson,HDPK Dharmasena,J Srinath,England,0,Group,137
S2023-7,25,S2023-7-M25,England,Sri Lanka,26/10/23,KA01,England,bat,CBRLS Kumara,AT Holdstock,CM Brown,RJ Tucker,J Srinath,Sri Lanka,8,Group,0
S2023-7,40,S2023-7-M40,England,Netherlands,08/11/23,MA02,England,bat,BA Stokes,Ahsan Raza,RJ Tucker,P Wilson,AJ Pycroft,England,0,Group,160
S2023-7,44,S2023-7-M44,England,Pakistan,11/11/23,WE01,England,bat,DJ Willey,P Wilson,RJ Tucker,PR Reiffel,J Srinath,England,0,Group,93
S2023-2,4,S2023-2-M4,South Africa,Sri Lanka,07/10/23,DE01,Sri Lanka,field,AK Markram,RK Illingworth,Sharfuddoula,AG Wharf,J Srinath,South Africa,0,Group,102
S2023-2,10,S2023-2-M10,South Africa,Australia,12/10/23,UP01,Australia,field,Q de Kock,JS Wilson,RK Illingworth,CM Brown,J Srinath,South Africa,0,Group,134
