match_id,player_id,role,runs_scored,balls_faced,fours,sixes,balls_bowled,extras,runs_given,wickets,strike_rate,economy_rate
S2023-10-M28,149,Batsman,3,9,0,0,0,0,0,0,33.33,0.0
S2023-10-M28,150,Batsman,41,44,8,0,0,0,0,0,93.18,0.0
S2023-10-M28,122,Batsman,68,89,6,0,0,0,0,0,76.4,0.0
S2023-10-M28,123,Batsman,35,62,3,0,0,0,0,0,56.45,0.0
S2023-10-M28,143,Batsman,15,16,3,0,0,0,0,0,93.75,0.0
S2023-10-M28,88,Batsman,20,41,2,0,0,0,0,0,48.78,0.0
S2023-9-M30,32,Batsman,15,21,1,0,0,0,0,0,71.43,0.0
S2023-9-M30,45,Batsman,58,76,2,1,0,0,0,0,76.32,0.0
S2023-1-M33,112,All-rounder,35,25,1,1,4,0,4,1,140.0,6.0
S2023-9-M14,30,All-rounder,2,9,0,0,56,0,53,1,22.22,5.68
S2023-9-M14,37,All-rounder,31,21,4,2,58,2,35,1,147.62,3.62
S2023-8-M17,102,Batsman,8,17,0,0,0,0,0,0,47.06,0.0
S2023-8-M17,100,All-rounder,14,18,2,0,57,0,60,0,77.78,6.32
S2023-4-M35,81,All-rounder,26,17,0,2,30,0,35,0,152.94,7.0
S2023-4-M35,33,Batsman,126,83,8,11,0,0,0,0,151.81,0.0
S2023-6-M3,117,Batsman,47,64,4,1,0,0,0,0,73.44,0.0
S2023-6-M3,99,Batsman,5,13,0,0,0,0,0,0,38.46,0.0
S2023-1-M45,136,All-rounder,51,33,3,4,12,0,11,0,154.55,5.5
S2023-2-M4,79,Batsman,7,15,1,0,0,0,0,0,46.67,0.0
S2023-10-M19,123,Batsman,70,87,4,1,0,0,0,0,80.46,0.0
S2023-2-M23,108,Batsman,174,142,15,7,0,0,0,0,122.54,0.0
S2023-2-M23,5,Batsman,60,70,7,0,0,0,0,0,85.71,0.0
S2023-2-M23,71,All-rounder,1,1,0,0,53,5,34,2,100.0,3.85
S2023-4-M6,151,Batsman,70,80,7,2,0,0,0,0,87.5,0.0
S2023-4-M6,27,Batsman,48,48,5,2,0,0,0,0,100.0,0.0
S2023-9-M38,102,Batsman,90,103,12,0,0,0,0,0,87.38,0.0
