player_name,team,player_id
A Dutt,Netherlands,1
A Zampa,Australia,2
AAP Atkinson,England,3
AD Mathews,Sri Lanka,4
AK Markram,South Africa,5
AL Phehlukwayo,South Africa,6
AT Carey,Australia,7
AT Nidamanuru,Netherlands,8
AU Rashid,England,9
Abdullah Shafique,Pakistan,10
Agha Salman,Pakistan,11
Azmatullah Omarzai,Afghanistan,12
BA Stokes,England,13
BFW de Leede,Netherlands,14
BKG Mendis,Sri Lanka,15
Babar Azam,Pakistan,16
C Green,Australia,17
C Karunaratne,Sri Lanka,18
CAK Rajitha,Sri Lanka,19
CBRLS Kumara,Sri Lanka,20
CN Ackermann,Netherlands,21
CR Woakes,England,22
D Madushanka,Sri Lanka,23
DA Miller,South Africa,24
DA Warner,Australia,25
DJ Malan,England,26
DJ Mitchell,New Zealand,27
DJ Willey,England,28
DM de Silva,Sri Lanka,29
DN Wellalage,Sri Lanka,30
DP Conway,New Zealand,31
FDM Karunaratne,Sri Lanka,32
Fakhar Zaman,Pakistan,33
Fazalhaq Farooqi,Afghanistan,34
G Coetzee,South Africa,35
GD Phillips,New Zealand,36
GJ Maxwell,Australia,37
H Klaasen,South Africa,38
HC Brook,England,39
HE van der Dussen,South Africa,40
HH Pandya,India,41
Haris Rauf,Pakistan,42
Hasan Ali,Pakistan,43
Hasan Mahmud,Bangladesh,44
Hashmatullah Shahidi,Afghanistan,45
IS Sodhi,New Zealand,46
Ibrahim Zadran,Afghanistan,47
Iftikhar Ahmed,Pakistan,48
Ikram Alikhil,Afghanistan,49
Imam-ul-Haq,Pakistan,50
Ishan Kishan,India,51
JC Buttler,England,52
JDS Neesham,New Zealand,53
JE Root,England,54
JJ Bumrah,India,55
JM Bairstow,England,56
JP Inglis,Australia,57
JR Hazlewood,Australia,58
K Rabada,South Africa,59
KA Maharaj,South Africa,60
KIC Asalanka,Sri Lanka,61
KL Rahul,India,62
KS Williamson,New Zealand,63
Kuldeep Yadav,India,64
L Ngidi,South Africa,65
LB Williams,South Africa,66
LH Ferguson,New Zealand,67
LS Livingstone,England,68
LV van Beek,Netherlands,69
Liton Das,Bangladesh,70
M Jansen,South Africa,71
M Labuschagne,Australia,72
M Pathirana,Sri Lanka,73
M Theekshana,Sri Lanka,74
MA Starc,Australia,75
MA Wood,England,76
MADI Hemantha,Sri Lanka,77
MD Shanaka,Sri Lanka,78
MDKJ Perera,Sri Lanka,79
MJ Henry,New Zealand,80
MJ Santner,New Zealand,81
MM Ali,England,82
MP O'Dowd,Netherlands,83
MP Stoinis,Australia,84
MR Marsh,Australia,85
MS Chapman,New Zealand,86
Mahedi Hasan,Bangladesh,87
Mahmudullah,Bangladesh,88
Mehedi Hasan Miraz,Bangladesh,89
Mohammad Nabi,Afghanistan,90
Mohammad Nawaz,Pakistan,91
Mohammad Rizwan,Pakistan,92
Mohammad Wasim,Pakistan,93
Mohammed Shami,India,94
Mohammed Siraj,India,95
Mujeeb Ur Rahman,Afghanistan,96
Mushfiqur Rahim,Bangladesh,97
Mustafizur Rahman,Bangladesh,98
Najibullah Zadran,Afghanistan,99
Nasum Ahmed,Bangladesh,100
Naveen-ul-Haq,Afghanistan,101
Nazmul Hossain Shanto,Bangladesh,102
Noor Ahmad,Afghanistan,103
P Nissanka,Sri Lanka,104
PA van Meekeren,Netherlands,105
PJ Cummins,Australia,106
PVD Chameera,Sri Lanka,107
Q de Kock,South Africa,108
R Ashwin,India,109
R Klein,Netherlands,110
R Ravindra,New Zealand,111
RA Jadeja,India,112
RE van der Merwe,Netherlands,113
RG Sharma,India,114
RJW Topley,England,115
RR Hendricks,South Africa,116
Rahmanullah Gurbaz,Afghanistan,117
Rahmat Shah,Afghanistan,118
Rashid Khan,Afghanistan,119
S Samarawickrama,Sri Lanka,120
SA Abbott,Australia,121
SA Edwards,Netherlands,122
SA Engelbrecht,Netherlands,123
SA Yadav,India,124
SM Curran,England,125
SN Thakur,India,126
SPD Smith,Australia,127
SS Iyer,India,128
Saqib Zulfiqar,Netherlands,129
Saud Shakeel,Pakistan,130
Shadab Khan,Pakistan,131
Shaheen Shah Afridi,Pakistan,132
Shakib Al Hasan,Bangladesh,133
Shariz Ahmad,Netherlands,134
Shoriful Islam,Bangladesh,135
Shubman Gill,India,136
T Bavuma,South Africa,137
T Shamsi,South Africa,138
TA Boult,New Zealand,139
TG Southee,New Zealand,140
TM Head,Australia,141
TWM Latham,New Zealand,142
Tanzid Hasan,Bangladesh,143
Tanzim Hasan Sakib,Bangladesh,144
Taskin Ahmed,Bangladesh,145
Towhid Hridoy,Bangladesh,146
Usama Mir,Pakistan,147
V Kohli,India,148
Vikramjit Singh,Netherlands,149
W Barresi,Netherlands,150
WA Young,New Zealand,151
